fecha;tiempo;MODELO_CONTROLADOR;VERSION_SOFTWARE;ZONA_MUERTA_ACEL_INF;ZONA_MUERTA_ACEL_SUP;ZONA_MUERTA_FRENO_INF;ZONA_MUERTA_FRENO_SUP;VALOR_PEDAL_ACELERADOR;VALOR_PEDAL_FRENO;VALOR_POTENCIA_CONTROL;VALOR_ALIMENTACION_AUX_5V;VALOR_ALIMENTACION_B+;VALOR_CORRIENTE_FASE_A;VALOR_CORRIENTE_FASE_B;VALOR_CORRIENTE_FASE_C;VALOR_VOLTAJE_FASE_A;VALOR_VOLTAJE_FASE_B;VALOR_VOLTAJE_FASE_C;DUTY_CYCLE_PWM;ROTACION_MOTOR;TEMP_MOTOR;TEMP_CONTROLADOR_INT;TEMP_CONTROLADOR_1;TEMP_CONTROLADOR_2;RPM_MECANICAS;CORRIENTE_ACTUAL;ACELERADOR;FRENO;MARCHA_ATRAS
05/10/2012;10:36:08;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;131;129;131;0,37;0,37;0,37;5;0;8;28;22;19;4;6;0;0;0
05/10/2012;10:36:09;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;131;129;131;0,37;0,37;0,37;5;0;8;28;22;19;4;6;0;0;0
05/10/2012;10:36:09;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;131;129;131;0,37;0,37;0,37;5;0;8;28;22;19;4;6;0;0;0
05/10/2012;10:36:10;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;131;129;131;0,37;0,37;0,37;5;0;8;28;22;19;4;6;0;0;0
05/10/2012;10:36:11;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;131;129;131;0,37;0,37;0,37;5;0;8;28;22;19;0;6;0;0;0
05/10/2012;10:36:12;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;131;129;131;0,37;0,37;0,37;5;0;8;28;22;19;0;6;0;0;0
05/10/2012;10:36:12;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;131;129;131;0,37;0,37;0,37;5;0;8;28;22;19;0;6;0;0;0
05/10/2012;10:36:13;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;131;129;131;0,37;0,37;0,37;5;0;8;28;22;19;0;6;0;0;0
05/10/2012;10:36:14;KBL72401;42;10;90;20;80;0;0;80,81;4,96;80,81;131;129;131;0,37;0,37;0,37;5;0;8;28;22;19;0;6;0;0;0
05/10/2012;10:36:14;KBL72401;42;10;90;20;80;0;0;80,81;4,96;81,18;131;129;131;0,37;0,37;0,37;5;0;8;28;22;19;0;6;0;0;0
